Term,Stamm,Sprache,Zeitraum
ఏపె,ఏ,Telugu,600 CE - present
ఏపె,అప్ప,Telugu,600 CE - present
పార్టీ,party,English,1550 CE - present
తాజా,ताज़ा,Hindi,not available
పెద్దమెదడు,పెద్ద,Telugu,600 CE - present
పెద్దమెదడు,మెదడు,Telugu,600 CE - present
చిన్నమెదడు,చిన్న,Telugu,600 CE - present
చిన్నమెదడు,మెదడు,Telugu,600 CE - present
ఎముకల గూడు,ఎముకల,Telugu,600 CE - present
ఎముకల గూడు,గూడు,Telugu,600 CE - present
నాశము,नाश,Sanskrit,1500 BCE - present (liturgical/classical)
ఎనమందుము,ఎనిమిది,Telugu,600 CE - present
ఎనమందుము,తూము,Telugu,600 CE - present
ఇద్దుము,ఇరు,Telugu,600 CE - present
ఇద్దుము,తూము,Telugu,600 CE - present
తొమ్మందుము,తొమ్మిది,Telugu,600 CE - present
తొమ్మందుము,తూము,Telugu,600 CE - present
పందుము,పది,Telugu,600 CE - present
పందుము,తూము,Telugu,600 CE - present
ఇల్లము,ఇరు,Telugu,600 CE - present
ఇల్లము,పలము,Telugu,600 CE - present
అబ్బబ్బ,అబ్బ,Telugu,600 CE - present
నమకచమకములు,నమకము,Telugu,600 CE - present
నమకచమకములు,చమకము,Telugu,600 CE - present
ఆకాకర,ఆకు,Telugu,600 CE - present
ఆకాకర,కాకర,Telugu,600 CE - present
పొట్టికాకర,పొట్టి,Telugu,600 CE - present
పొట్టికాకర,కాకర,Telugu,600 CE - present
ప్రతిఘాతము,ప్రతి,Telugu,600 CE - present
ప్రతిఘాతము,ఘాతము,Telugu,600 CE - present
బారచాచు,బార,Telugu,600 CE - present
బారచాచు,చాచు,Telugu,600 CE - present
అంకురించు,अङ्कुर,Sanskrit,1500 BCE - present (liturgical/classical)
దుర్భాష,దుః,Telugu,600 CE - present
దుర్భాష,భాష,Telugu,600 CE - present
పునర్విచారణ,పునః,Telugu,600 CE - present
పునర్విచారణ,విచారణ,Telugu,600 CE - present
పునఃప్రతిష్ఠ,పునః,Telugu,600 CE - present
పునఃప్రతిష్ఠ,ప్రతిష్ఠ,Telugu,600 CE - present
పునరుక్తము,పునః,Telugu,600 CE - present
పునరుక్తము,ఉక్తము,Telugu,600 CE - present
ఉప్పొంగు,ఉబ్బు,Telugu,600 CE - present
ఉప్పొంగు,పొంగు,Telugu,600 CE - present
పునరుక్తి,పునః,Telugu,600 CE - present
పునరుక్తి,ఉక్తి,Telugu,600 CE - present
ప్రతిబింబము,ప్రతి,Telugu,600 CE - present
ప్రతిబింబము,బింబము,Telugu,600 CE - present
